pad	cobo	asad	aget	chan	row	col	a[keV/ch] b[keV]
1994	0	0	0	0	30	3	1	0
2044	0	0	0	1	31	11	1	0
2029	0	0	0	2	28	14	1	0
1998	0	0	0	3	29	4	1	0
2019	0	0	0	4	29	11	1	0
2048	0	0	0	5	31	15	1	0
2025	0	0	0	6	29	13	1	0
1990	0	0	0	7	28	1	1	0
2023	0	0	0	8	28	12	1	0
2040	0	0	0	9	31	7	1	0
2021	0	0	0	10	30	12	1	0
-1		0	0	0	11	-1	-1	1	0
1986	0	0	0	12	29	0	1	0
2027	0	0	0	13	30	14	1	0
2036	0	0	0	14	31	3	1	0
2032	0	0	0	15	28	15	1	0
2017	0	0	0	16	28	10	1	0
2046	0	0	0	17	31	13	1	0
2031	0	0	0	18	29	15	1	0
2000	0	0	0	19	30	5	1	0
2013	0	0	0	20	29	9	1	0
1985	0	0	0	21	30	0	1	0
-1		0	0	0	22	-1	-1	1	0
2042	0	0	0	23	31	9	1	0
2028	0	0	0	24	29	14	1	0
2009	0	0	0	25	30	8	1	0
1989	0	0	0	26	29	1	1	0
2038	0	0	0	27	31	5	1	0
2024	0	0	0	28	30	13	1	0
2005	0	0	0	29	28	6	1	0
1993	0	0	0	30	28	2	1	0
1997	0	0	0	31	30	4	1	0
2001	0	0	0	32	29	5	1	0
2020	0	0	0	33	28	11	1	0
2034	0	0	0	34	31	1	1	0
1987	0	0	0	35	28	0	1	0
2026	0	0	0	36	28	13	1	0
2016	0	0	0	37	29	10	1	0
2045	0	0	0	38	31	12	1	0
2041	0	0	0	39	31	8	1	0
2030	0	0	0	40	30	15	1	0
2012	0	0	0	41	30	9	1	0
1991	0	0	0	42	30	2	1	0
2037	0	0	0	43	31	4	1	0
2022	0	0	0	44	29	12	1	0
-1		0	0	0	45	-1	-1	1	0
2008	0	0	0	46	28	7	1	0
1995	0	0	0	47	29	3	1	0
2033	0	0	0	48	31	0	1	0
2018	0	0	0	49	30	11	1	0
2004	0	0	0	50	29	6	1	0
2047	0	0	0	51	31	14	1	0
1999	0	0	0	52	28	4	1	0
2014	0	0	0	53	28	9	1	0
2010	0	0	0	54	29	8	1	0
2003	0	0	0	55	30	6	1	0
-1		0	0	0	56	-1	-1	1	0
2043	0	0	0	57	31	10	1	0
1996	0	0	0	58	28	3	1	0
2006	0	0	0	59	30	7	1	0
2007	0	0	0	60	29	7	1	0
2039	0	0	0	61	31	6	1	0
1988	0	0	0	62	30	1	1	0
2002	0	0	0	63	28	5	1	0
2015	0	0	0	64	30	10	1	0
2035	0	0	0	65	31	2	1	0
2011	0	0	0	66	28	8	1	0
1992	0	0	0	67	29	2	1	0
1930	0	0	1	0	30	19	1	0
1980	0	0	1	1	31	27	1	0
1965	0	0	1	2	28	30	1	0
1934	0	0	1	3	29	20	1	0
